epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.43184,3.55374,4.42832,1.86306,0,0,0,0,3.49725,4.39185,1.79525,8.888e-05,8.888e-05,8.888e-05
2,5.33616,3.25643,4.33021,1.63281,0.00245,0.0049,0.00287,0.00086,3.40214,4.34238,1.50128,0.000187,0.000187,0.000187
3,7.27346,3.22669,4.11443,1.4871,0.00243,0.0049,0.00286,0.00143,3.28263,4.27554,1.31758,0.000283141,0.000283141,0.000283141
4,9.29498,3.05793,3.90219,1.39459,0.00687,0.0098,0.00443,0.00109,3.29761,4.1425,1.31347,0.000377301,0.000377301,0.000377301
5,11.1949,2.97227,3.57293,1.31422,0.03141,0.08824,0.04628,0.01983,3.35426,3.70062,1.36706,0.000469482,0.000469482,0.000469482
6,13.0233,2.95046,3.38413,1.30076,0.03315,0.11776,0.04687,0.01735,3.33523,3.37508,1.33986,0.000559683,0.000559683,0.000559683
7,14.9722,3.1675,3.38554,1.30475,0.04682,0.18159,0.0822,0.03494,3.17376,3.25003,1.23772,0.000647904,0.000647904,0.000647904
8,16.8058,3.06076,3.21838,1.26977,0.04881,0.22092,0.10041,0.03402,3.11377,3.10115,1.21675,0.000734145,0.000734145,0.000734145
9,18.6706,3.014,3.03544,1.2504,0.66128,0.08094,0.0979,0.03163,3.07132,2.86489,1.25539,0.000818407,0.000818407,0.000818407
10,20.5913,2.9771,2.84839,1.22612,0.49499,0.14096,0.11409,0.0423,3.18892,2.57193,1.21883,0.000900689,0.000900689,0.000900689
11,22.4922,2.94975,2.71862,1.21562,0.47934,0.17908,0.1183,0.04816,3.10336,2.41363,1.16605,0.000980991,0.000980991,0.000980991
12,24.4728,2.98815,2.75101,1.20818,0.49919,0.18279,0.14598,0.04974,2.99171,2.31628,1.16108,0.000990012,0.000990012,0.000990012
13,26.4706,2.96549,2.65929,1.20804,0.56382,0.15708,0.14426,0.05562,2.86473,2.35611,1.15062,0.000979013,0.000979013,0.000979013
14,28.2889,2.90284,2.64696,1.19576,0.19333,0.17059,0.15142,0.05815,2.83727,2.37138,1.12344,0.000968014,0.000968014,0.000968014
15,30.2178,2.8609,2.51951,1.17567,0.20767,0.21547,0.15978,0.05893,2.84244,2.30059,1.1181,0.000957015,0.000957015,0.000957015
16,30.6111,2.77153,2.32582,1.20643,0.19103,0.20315,0.14201,0.04805,2.949,2.28878,1.1627,0.000946016,0.000946016,0.000946016
17,32.528,2.81187,2.30455,1.18509,0.20642,0.19631,0.19115,0.06623,2.88131,2.25721,1.12459,0.000935018,0.000935018,0.000935018
